# File generated fom CXRO data
# found in https://henke.lbl.gov/optical_constants/asf.html
#S 89 Ac
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
       10.0000  -9999.000000      1.194840
       10.1617  -9999.000000      1.156720
       10.3261  -9999.000000      1.119820
       10.4931  -9999.000000      1.084100
       10.6628  -9999.000000      1.049520
       10.8353  -9999.000000      1.016040
       11.0106  -9999.000000      0.982343
       11.1886  -9999.000000      0.946689
       11.3696  -9999.000000      0.912330
       11.5535  -9999.000000      0.881524
       11.7404  -9999.000000      0.859053
       11.9303  -9999.000000      0.837152
       12.1232  -9999.000000      0.815811
       12.3193  -9999.000000      0.794970
       12.5186  -9999.000000      0.773794
       12.7210  -9999.000000      0.753182
       12.9268  -9999.000000      0.733119
       13.1359  -9999.000000      0.713591
       13.3483  -9999.000000      0.687995
       13.5642  -9999.000000      0.662100
       13.7836  -9999.000000      0.637180
       14.0066  -9999.000000      0.619840
       14.2331  -9999.000000      0.613379
       14.4633  -9999.000000      0.606984
       14.6973  -9999.000000      0.597514
       14.9350  -9999.000000      0.589582
       15.1765  -9999.000000      0.593095
       15.4220  -9999.000000      0.605186
       15.6714  -9999.000000      0.639248
       15.9249  -9999.000000      0.736397
       16.1825  -9999.000000      0.901612
       16.4442  -9999.000000      1.082340
       16.7102  -9999.000000      1.338420
       16.9805  -9999.000000      1.623340
       17.2551  -9999.000000      1.968520
       17.5342  -9999.000000      2.464800
       17.8178  -9999.000000      2.864040
       18.1060  -9999.000000      3.239040
       18.3989  -9999.000000      3.731160
       18.6964  -9999.000000      4.298070
       18.9988  -9999.000000      4.762440
       19.3061  -9999.000000      5.274530
       19.6184  -9999.000000      5.841670
       19.9357  -9999.000000      6.473150
       20.2582  -9999.000000      7.173820
       20.5858  -9999.000000      7.886460
       20.9188  -9999.000000      8.333340
       21.2571  -9999.000000      8.805550
       21.6009  -9999.000000      9.291410
       21.9503  -9999.000000      9.774870
       22.3053  -9999.000000     10.283500
       22.6661  -9999.000000     10.818600
       23.0327  -9999.000000     11.097900
       23.4053  -9999.000000     11.355000
       23.7838  -9999.000000     11.618100
       24.1685  -9999.000000     11.887300
       24.5594  -9999.000000     12.162700
       24.9566  -9999.000000     12.364400
       25.3603  -9999.000000     12.567200
       25.7705  -9999.000000     12.668400
       26.1873  -9999.000000     12.670000
       26.6109  -9999.000000     12.671500
       27.0413  -9999.000000     12.673100
       27.4786  -9999.000000     12.612100
       27.9231  -9999.000000     12.543400
       28.3747  -9999.000000     12.475200
       28.8337  -9999.000000     12.407300
       29.3000     12.424500     12.094100
       29.7739     12.926800     11.680000
       30.2555     13.315700     11.280600
       30.7449     13.658400     10.927900
       31.2421     13.987000     10.586200
       31.7475     14.332700     10.255200
       32.2609     14.684400      9.798750
       32.7827     14.907600      9.322030
       33.3130     15.055100      8.868510
       33.8518     15.141700      8.437050
       34.3993     15.181000      8.081920
       34.9557     15.243900      7.761680
       35.5211     15.321600      7.454130
       36.0956     15.435900      7.124810
       36.6794     15.494800      6.729920
       37.2727     15.513400      6.356920
       37.8755     15.491100      5.957610
       38.4882     15.412900      5.582070
       39.1107     15.284200      5.235260
       39.7432     15.145700      4.954370
       40.3861     15.010700      4.688550
       41.0393     14.868600      4.437000
       41.7031     14.717100      4.203240
       42.3776     14.562100      3.984130
       43.0630     14.401700      3.776440
       43.7595     14.234700      3.579750
       44.4673     14.061800      3.394050
       45.1865     13.883400      3.218000
       45.9174     13.700400      3.051060
       46.6600     13.517200      2.892790
       47.4147     13.323200      2.719940
       48.1816     13.108500      2.556840
       48.9609     12.876800      2.403510
       49.7528     12.624800      2.259380
       50.5576     12.344700      2.148380
       51.3753     12.080900      2.061750
       52.2062     11.820300      1.978620
       53.0506     11.552800      1.898830
       53.9087     11.271300      1.824770
       54.7806     10.986500      1.768740
       55.6667     10.698800      1.714430
       56.5670     10.401900      1.661790
       57.4820     10.092800      1.613930
       58.4117      9.772450      1.568760
       59.3564      9.437190      1.524850
       60.3165      9.083380      1.483050
       61.2921      8.708210      1.442870
       62.2834      8.304150      1.403780
       63.2908      7.873600      1.382380
       64.3145      7.415140      1.361930
       65.3547      6.920400      1.359820
       66.4118      6.400750      1.366440
       67.4859      5.833140      1.389850
       68.5775      5.249310      1.422830
       69.6867      4.618760      1.450870
       70.8138      3.927830      1.480800
       71.9591      3.163750      1.511970
       73.1230      2.301430      1.543800
       74.3057      1.327180      1.611950
       75.5076      0.231366      1.689790
       76.7289     -1.030350      1.790260
       77.9699     -2.513450      1.902800
       79.2310     -4.356670      2.059000
       80.5125     -6.659420      2.312870
       81.8147     -9.965550      2.889910
       83.1380    -14.076000      4.530990
       84.4827    -19.447700      7.434940
       85.8491    -27.195300     18.597800
       87.2377    -19.302300     28.837800
       88.6487    -13.109000     31.713300
       90.0825     -9.837290     33.532600
       91.5395     -6.752490     35.383200
       93.0201     -3.955620     36.548400
       94.5246     -1.432010     37.751900
       96.0535      1.106840     38.995000
       97.6071      3.965600     39.890000
       99.1858      6.490340     40.387700
      100.7900      8.928500     40.891600
      102.4200     11.617100     41.255300
      104.0770     14.089400     41.196000
      105.7600     16.415000     41.136900
      107.4710     18.860000     40.940100
      109.2090     21.131700     40.531100
      110.9750     23.411600     40.126200
      112.7700     26.140300     39.725300
      114.5940     28.617800     38.071100
      116.4480     30.491600     36.466100
      118.3310     32.141200     34.928700
      120.2450     33.606000     33.157900
      122.1900     34.706500     31.384800
      124.1660     35.540800     29.706600
      126.1750     36.201000     28.118000
      128.2150     36.721100     26.614400
      130.2890     37.125700     25.191200
      132.3970     37.433700     23.844200
      134.5380     37.660000     22.569100
      136.7140     37.817000     21.362300
      138.9250     37.914700     20.220000
      141.1720     37.962100     19.138700
      143.4560     37.966700     18.115300
      145.7760     37.935700     17.146600
      148.1340     37.875400     16.229700
      150.5300     37.793000     15.361800
      152.9640     37.696700     14.540400
      155.4390     37.600700     13.762900
      157.9530     37.554300     13.026900
      160.5070     37.468000     12.138500
      163.1030     37.272800     11.291500
      165.7420     37.003600     10.503600
      168.4220     36.694400      9.770650
      171.1460     36.355600      9.088880
      173.9150     35.993600      8.454660
